"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","idx"
"post.mean.final.IP",0.40561474255661,0.413575647911819,0.423934782356502,0.318598732184569,0.418130656270414,0.325593827999122,0.371902194875644,0.4186646230986,0.392384570824618,0.321492579443764,0.334037347401294,0.396094867160639,0.328542249612772,0.426244797446327,0.421376730411082,0.426244797446327,0.373529218950517,0.288467483595473,0.33844343142608,0.308617567148689,22
"post.mean.initial.PC",0.0257826282770253,0.0104800331175784,0.0580271691946151,0.149296456588346,0.118851627522112,0.0911539494364903,0.104929174421991,0.0177392665541713,0.0342108564686221,0.0824623212564731,0.108009094153762,0.0770241174512955,0.0204791134196309,0.00302212832938237,0.153692907902197,0.00302212832938237,0.0694886181217062,0.166678882303266,0.116102364493149,0.13526963646663,22
"post.mean.final.PC",0.0257826282770253,0.0104800331175784,0.0580271691946151,0.149296456588346,0.118851627522112,0.0911539494364903,0.104929174421991,0.0177392665541713,0.0342108564686221,0.0824623212564731,0.108009094153762,0.0770241174512955,0.0204791134196309,0.00302212832938237,0.148299409387729,0.00302212832938237,0.0694886181217062,0.166678882303266,0.116102364493149,0.13526963646663,22
"cov.initial",1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,0,22
"cov.final",1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,0,22
"eff.mix.prob",1,1,0.980352937231561,0.694527902411578,0.365401036648621,0.545835335735772,0.395871965629301,1,1,0.63113240131595,0.442685914495964,0.655409236495676,1,1,0.609349811091233,1,0.771480718188774,0.869548669639912,0.448160301892247,0.596935751527687,22
"initial.p",0.484990458298191,0.412656229846272,0.627200355425894,0.977381290436929,0.972335276724208,0.896598144209224,0.951948313613261,0.447187445044832,0.523283122445202,0.848246340441746,0.950661911846615,0.818882073727043,0.464091891382633,0.376073362334139,0.97826179598094,0.376073362334139,0.751038267603223,0.97941719648406,0.961464533839691,0.970640671086358,22
"final.p",0.484990458298191,0.412656229846272,0.627200355425894,0.977381290436929,0.972335276724208,0.896598144209224,0.951948313613261,0.447187445044832,0.523283122445202,0.848246340441746,0.950661911846615,0.818882073727043,0.464091891382633,0.376073362334139,0.979225244098267,0.376073362334139,0.751038267603223,0.97941719648406,0.961464533839691,0.970640671086358,22
"box.skpt.initial",0.962195469807469,0.838827878148291,0.80412717201081,0.0357304444292457,0.211690576667289,0.412255345751039,0.322186146147539,0.887567317121783,0.975800914605042,0.491765599033018,0.258186964819974,0.635662011525346,0.965574870004097,0.725535849863446,0.0353564961791797,0.725535849863446,0.710193881157818,0.00958919349913986,0.200274575603621,0.0715617278939017,22
"box.skpt.final",0.962195469807469,0.838827878148291,0.80412717201081,0.0357304444292457,0.211690576667289,0.412255345751039,0.322186146147539,0.887567317121783,0.975800914605042,0.491765599033018,0.258186964819974,0.635662011525346,0.965574870004097,0.725535849863446,0.0486774140556632,0.725535849863446,0.710193881157818,0.00958919349913986,0.200274575603621,0.0715617278939017,22
"box.enth.initial",0.479627523078521,0.288645298296244,0.823774234779248,0.341202542017668,0.846289540018668,0.866420010015267,0.926314180518238,0.361222467496534,0.596569195017804,0.860633197717067,0.81550105032401,0.98025277502967,0.42699069473332,0.204895792534531,0.351839684265276,0.204895792534531,0.938713162969044,0.140040523859228,0.752114273711374,0.474625976366214,22
"box.enth.final",0.479627523078521,0.288645298296244,0.823774234779248,0.341202542017668,0.846289540018668,0.866420010015267,0.926314180518238,0.361222467496534,0.596569195017804,0.860633197717067,0.81550105032401,0.98025277502967,0.42699069473332,0.204895792534531,0.43932760296443,0.204895792534531,0.938713162969044,0.140040523859228,0.752114273711374,0.474625976366214,22
"risk.diff.initial",-0.0147783251231527,-0.0558292282430213,0.0541871921182266,0.279146141215107,0.188013136288998,0.145320197044335,0.166666666666667,-0.0385878489326765,0.00903119868637109,0.12807881773399,0.179802955665025,0.101806239737274,-0.0057471264367816,-0.0796387520525451,0.297142857142857,-0.0796387520525451,0.0911330049261084,0.326765188834154,0.197044334975369,0.244663382594417,22
"risk.diff.final",-0.0147783251231527,-0.0558292282430213,0.0541871921182266,0.279146141215107,0.188013136288998,0.145320197044335,0.166666666666667,-0.0385878489326765,0.00903119868637109,0.12807881773399,0.179802955665025,0.101806239737274,-0.0057471264367816,-0.0796387520525451,0.276099629040805,-0.0796387520525451,0.0911330049261084,0.326765188834154,0.197044334975369,0.244663382594417,22
