"","p.IP","p.PC","freq.mntr","enr.shape","out.mean","fut.mix.prob","eff.mix.prob","inf.mix.prob","cred.tail","max.ss","min.ss","reps"
"156",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"157",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"158",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"159",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"160",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"161",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"162",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"163",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"164",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"165",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"166",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"167",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"168",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"169",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"170",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"171",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"172",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"173",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"174",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"175",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"176",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"177",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"178",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"179",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"180",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"181",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"182",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"183",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"184",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"185",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"186",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"187",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"188",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"189",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"190",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"191",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"192",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"193",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"194",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"195",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
