"","X","eff.mon.initial","eff.mon.final","eff.inf.initial","eff.inf.final","fut.mon.initial","fut.mon.final","fut.inf.initial","fut.inf.final","phat.initial","phat.final","ss.initial","ss.final","post.mean.initial","post.mean.final","cov.initial","cov.final","idx"
"126",1,0.15552,0.09128,0.16996,0.1598,0.4584,0.3244,NA,NA,0.432178913685977,0.433921174486251,85.1884,89.7954,0.443811439443257,0.443647749232224,0.91956,0.93664,5
"127",1,0.02112,0.01584,0.02668,0.02544,0.71824,0.68012,NA,NA,0.386985892857143,0.390590430620123,90.10624,95.06652,0.402964973345855,0.404580474625699,0.96768,0.96692,60
"128",1,0.01856,0.01484,0.02508,0.02456,0.71808,0.67876,NA,NA,0.385213315295815,0.389399072497174,89.71624,94.56456,0.402128053624761,0.403992549777999,0.97212,0.96904,61
"129",1,0.019,0.01536,0.02508,0.02432,0.72764,0.68772,NA,NA,0.386638725490196,0.390361897498892,90.7492,95.96484,0.402612429519494,0.404286161397238,0.96852,0.96892,62
"130",1,0.02348,0.0152,0.0282,0.02664,0.7186,0.68016,NA,NA,0.385434523809524,0.389216694124765,89.66496,94.46392,0.402422873764181,0.403933855592921,0.96732,0.96752,63
"131",1,0.02056,0.01596,0.02736,0.02648,0.72388,0.68728,NA,NA,0.38673664021164,0.390238944476862,91.35952,95.7574,0.403860335970174,0.404264752639763,0.9694,0.9674,64
"132",1,0.02076,0.01596,0.02676,0.02608,0.71496,0.67684,NA,NA,0.385535115830116,0.389313824976781,90.33564,94.01236,0.402450171141574,0.40397705416086,0.96752,0.96772,65
"133",1,0.02008,0.01632,0.0266,0.02564,0.71516,0.68524,NA,NA,0.386657330827068,0.39023821669996,91.74392,95.31272,0.402626911792746,0.40420431610166,0.96784,0.96724,66
"134",1,0.01932,0.0158,0.02588,0.02516,0.71412,0.66496,NA,NA,0.385466978021978,0.389558506154822,89.87516,93.60116,0.402362229637158,0.404181815151723,0.97136,0.96844,67
"135",1,0.01844,0.01524,0.02476,0.0244,0.72084,0.6816,NA,NA,0.386609071428571,0.390439717035823,91.3136,95.15952,0.402550470988176,0.404412571990031,0.96824,0.9688,68
"136",1,0.02016,0.01548,0.02592,0.02524,0.7194,0.66536,NA,NA,0.385579851916376,0.389500460784738,89.25812,93.2692,0.402464084654648,0.404255286384655,0.96912,0.9678,69
