"","p.IP","p.PC","freq.mntr","enr.shape","out.mean","fut.mix.prob","eff.mix.prob","inf.mix.prob","cred.tail","max.ss","min.ss","reps"
"129",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"130",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"131",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"132",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"133",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"134",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"135",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"136",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"137",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"138",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"139",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"140",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"141",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"142",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"143",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"144",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"145",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"146",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"147",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"148",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"149",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"150",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"151",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"152",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"153",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"154",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"155",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"156",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"157",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"158",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"159",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"160",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"161",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"162",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"163",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"164",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"165",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"166",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"167",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"168",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"169",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"170",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"171",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"172",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"173",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"174",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"175",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"176",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"177",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"178",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"179",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"180",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"181",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"182",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"183",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"184",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"185",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"186",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"187",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"188",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"189",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"190",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"191",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"192",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"193",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"194",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
