"","y1.PC","y0.PC","y1.IP","y0.IP","box.ni","box.skpt","box.enth","pm_rd","pm_pi0","lower_rd","upper_rd","lower_pi0","upper_pi0"
"3110",16,23,34,14,0.713861142890542,0.0227576212910983,0.289549154833286,0.234819599164474,0.438696911560267,0.0835622786291713,0.317334328299369,0.407791823355476,0.570240925018839
"3111",16,23,34,18,0.837885672114697,0.0712614591303316,0.540576515681085,0.173733524611458,0.444321321885407,0.0390695967669146,0.326052943015341,0.330260876008595,0.565978077716351
"3112",16,23,34,19,0.851173644235455,0.090283858906045,0.60458094436301,0.162458581398024,0.441529435566556,0.0301999388430779,0.324446628209033,0.302339684167465,0.559310398167811
"3113",16,23,34,20,0.865657202816365,0.11660303967683,0.663036594286659,0.155201392448145,0.443661545953899,0.0317249434142737,0.331660794984408,0.300940419207812,0.556212964537843
"3114",16,23,34,21,0.881259540291398,0.143971399711418,0.727211808072604,0.146962109753284,0.440330513569817,0.0264037967665273,0.328551114359599,0.273970184785191,0.550633802197723
"3115",16,23,34,22,0.906665172103002,0.17072403722426,0.780704498426639,0.143308073211795,0.43646490152132,0.0285930020071049,0.328160732675148,0.256441587880127,0.546963664777418
"3116",16,23,35,17,0.787383377822688,0.0471297073144795,0.445281118424872,0.192707071545558,0.44302729921502,0.0531339425887207,0.322507385747571,0.360896059486016,0.561133285415446
"3117",16,23,35,19,0.846369580438957,0.0801323735556517,0.561781536045502,0.170125450813195,0.442003743958836,0.0423612628489283,0.328501520687143,0.330813536193376,0.559761061683919
"3118",16,23,35,20,0.856238354566851,0.0988952958826571,0.632742478968344,0.155994551011495,0.445026438055193,0.0341404174976107,0.333419864434657,0.285920827288866,0.558042988742923
"3119",16,23,35,21,0.8716400978168,0.120951537399847,0.691345488722444,0.154864004604344,0.439935894159125,0.0201031934919028,0.325663140975158,0.28512872202856,0.55471974311471
"3120",16,23,35,22,0.888090792267128,0.149974878022866,0.742076419344038,0.145051260040266,0.439184245610557,0.0217026457939636,0.327660935708054,0.262071349228328,0.550988926353927
"3121",16,23,35,23,0.918241103957722,0.183523322172658,0.794737000449372,0.137948355674038,0.437961955392372,0.0193925339977748,0.327471311342146,0.254273551264893,0.547922777558184
"3122",16,23,36,18,0.817440016553654,0.0529081406880202,0.473183557147601,0.189618446430579,0.440129071688271,0.0494904024416693,0.31406654997104,0.349270404006414,0.559768601835465
"3123",16,23,36,20,0.850059760102314,0.0847286854002397,0.595762407440774,0.166298386905456,0.444292396030204,0.0337087500482395,0.328923621563041,0.325741602752933,0.564484448465104
"3124",16,23,36,22,0.877248088978127,0.127261699973999,0.708810469567401,0.150486041051927,0.439997595705626,0.0330425987881546,0.328135054282416,0.275511312334557,0.548009115886346
"3125",16,23,37,19,0.833145051642617,0.0585510185451588,0.49529725219592,0.181851567789415,0.445228581305298,0.0445296971206548,0.320728274515641,0.342903734806979,0.562324641404963
"3126",16,23,37,21,0.856295214512308,0.0904503129394827,0.620257586680398,0.161496991500714,0.44437931359122,0.0314377418682879,0.328715315484444,0.30601909614299,0.559596301967499
"3127",16,23,38,20,0.838445613174735,0.0628097324741102,0.522666271818513,0.181956916004191,0.439989524120088,0.0468566071802356,0.317097046426565,0.328625885120436,0.551929966374793
"3128",16,24,30,19,0.896196611650715,0.151473721272619,0.735461882770162,0.143063277254719,0.433320827387619,0.0206712465193399,0.325527807462707,0.266299691291848,0.54559411844186
"3129",16,24,31,17,0.840323876486783,0.0766248326642671,0.556647180127191,0.174881516497341,0.433401420355867,0.0442686574120085,0.309430156418702,0.337951665527626,0.546840709620365
"3130",16,24,31,18,0.865570722117248,0.0985757319729589,0.625288194643105,0.159667082877014,0.435947597508879,0.0319218352186049,0.319521400452816,0.292170725920628,0.545317737250845
"3131",16,24,31,19,0.888596251308648,0.126364710165564,0.690855385509195,0.150908386069837,0.43340471557618,0.0200253813716102,0.317660004444701,0.29010158821796,0.547461127129507
"3132",16,24,31,20,0.90005403728545,0.156859920876364,0.748583988170947,0.144107881257643,0.431799724211645,0.0234348160748455,0.321109815251761,0.259305878125435,0.542487227588884
"3133",16,24,32,17,0.826051942870502,0.0631906126377211,0.517524327986057,0.182571932695382,0.433451636675135,0.0563417088995293,0.305843221712443,0.353580287412371,0.547833431365868
"3134",16,24,32,18,0.857131131622427,0.082971532677212,0.586065342971208,0.166740796042202,0.436966310001199,0.0342593330224432,0.322532482426716,0.320973294117561,0.553747762605495
