"","X.1","X","p.IP","p.PC","freq.mntr","enr.shape","out.mean","fut.mix.prob","eff.mix.prob","inf.mix.prob","cred.tail","max.ss","min.ss","reps","y1.IP.initial","y0.IP.initial","y1.PC.initial","y0.PC.initial","eff.prob.initial","fut.prob.initial","eff.mix.prob.initial","box.skpt.initial","box.enth.initial","box.ni.initial","y1.IP.final","y0.IP.final","y1.PC.final","y0.PC.final","eff.prob.final","fut.prob.final","eff.mix.prob.final","box.skpt.final","box.enth.final","box.ni.final"
"400071",400071,42,0.45,0.39,2,1,4,0,10,0.5,0.05,100,70,66,27,31,18,24,0.587366834253464,0.234897578398071,1,0.8659135844683,0.749563281630585,NA,27,31,18,24,0.587366834253464,0.234897578398071,1,0.8659135844683,0.749563281630585,0.919235224020689
"400072",400072,42,0.45,0.39,2,1,4,0,10,0.5,0.05,100,70,66,25,33,13,29,0.839579514809025,0.138109845588454,0.638426482855279,0.546354486233999,0.90792800337872,NA,25,33,13,29,0.839579514809025,0.138109845588454,0.638426482855279,0.546354486233999,0.90792800337872,NA
"400073",400073,42,0.45,0.39,2,1,4,0,10,0.5,0.05,100,70,66,28,30,15,27,0.886900643284502,0.123385580997626,0.529780412158085,0.52316457396001,0.993384161801925,NA,28,30,15,27,0.886900643284502,0.123385580997626,0.529780412158085,0.52316457396001,0.993384161801925,NA
"400074",400074,42,0.45,0.39,2,1,4,0,10,0.5,0.05,100,70,66,19,39,14,28,0.464091891382633,0.371093662616602,1,0.965574870004097,0.42699069473332,NA,19,39,14,28,0.464091891382633,0.371093662616602,1,0.965574870004097,0.42699069473332,NA
"400076",400076,42,0.45,0.39,2,1,4,0,10,0.5,0.05,100,70,66,32,26,15,27,0.972528209857037,0.0600634008589633,0.375303563515759,0.201867797454603,0.826564233938844,NA,32,26,15,27,0.972528209857037,0.0600634008589633,0.375303563515759,0.201867797454603,0.826564233938844,NA
"400078",400078,42,0.45,0.39,2,1,4,0,10,0.5,0.05,100,70,66,25,33,14,28,0.761608569431675,0.165872569612025,0.757700928908594,0.677872016395842,0.920171087487248,NA,25,33,14,28,0.761608569431675,0.165872569612025,0.757700928908594,0.677872016395842,0.920171087487248,NA
"400080",400080,42,0.45,0.39,2,1,4,0,10,0.5,0.05,100,70,66,27,31,17,25,0.636325913165695,0.20230364471918,0.966392859358117,0.824141857430051,0.857748998071935,NA,27,31,17,25,0.636325913165695,0.20230364471918,0.966392859358117,0.824141857430051,0.857748998071935,NA
"400081",400081,42,0.45,0.39,2,1,4,0,10,0.5,0.05,100,70,66,27,31,19,23,0.54992514241391,0.269813363109384,1,0.881338069878581,0.625935566505528,NA,27,31,19,23,0.54992514241391,0.269813363109384,1,0.881338069878581,0.625935566505528,NA
"400083",400083,42,0.45,0.39,2,1,4,0,10,0.5,0.05,100,70,66,26,32,18,24,0.553738250549436,0.266998629442425,1,0.919253796720824,0.665575780182921,NA,26,32,18,24,0.553738250549436,0.266998629442425,1,0.919253796720824,0.665575780182921,NA
"400084",400084,42,0.45,0.39,2,1,4,0,10,0.5,0.05,100,70,66,28,19,10,27,0.975241227886065,0.0198007107876038,0.779415027940442,0.0212306364881793,0.241815608547737,NA,28,21,10,28,0.975211044584425,0.0227902031873743,0.737666589220407,0.0273952738159969,0.28972868459559,NA
"400085",400085,42,0.45,0.39,2,1,4,0,10,0.5,0.05,100,70,66,24,34,10,32,0.927950380166047,0.086711705738435,0.545976262369589,0.241728896469788,0.695752634100199,NA,24,34,10,32,0.927950380166047,0.086711705738435,0.545976262369589,0.241728896469788,0.695752634100199,NA
"400086",400086,42,0.45,0.39,2,1,4,0,10,0.5,0.05,100,70,66,18,40,15,27,0.38676428033474,0.460484161671868,1,0.890688013041473,0.26243340824335,NA,18,40,15,27,0.38676428033474,0.460484161671868,1,0.890688013041473,0.26243340824335,NA
"400090",400090,42,0.45,0.39,2,1,4,0,10,0.5,0.05,100,70,66,32,26,17,25,0.945462648082737,0.0916251401968975,0.400602730511934,0.364706584380651,0.964103853868717,NA,32,26,17,25,0.945462648082737,0.0916251401968975,0.400602730511934,0.364706584380651,0.964103853868717,NA
"400091",400091,42,0.45,0.39,2,1,4,0,10,0.5,0.05,100,70,66,25,33,17,25,0.557686899963659,0.264257285590264,1,0.94219688569068,0.69105060011353,NA,25,33,17,25,0.557686899963659,0.264257285590264,1,0.94219688569068,0.69105060011353,NA
"400092",400092,42,0.45,0.39,2,1,4,0,10,0.5,0.05,100,70,66,21,37,21,21,0.276110195592944,0.587584659712962,1,0.437371892364558,0.0654085513178755,NA,21,37,21,21,0.276110195592944,0.587584659712962,1,0.437371892364558,0.0654085513178755,NA
"400093",400093,42,0.45,0.39,2,1,4,0,10,0.5,0.05,100,70,66,20,38,14,28,0.500727679530914,0.329719233220767,1,0.972374911975857,0.515977387832046,NA,20,38,14,28,0.500727679530914,0.329719233220767,1,0.972374911975857,0.515977387832046,NA
"400095",400095,42,0.45,0.39,2,1,4,0,10,0.5,0.05,100,70,66,18,40,22,20,0.160840809657886,0.743020957097376,1,0.145490366637525,0.00856295862525887,NA,18,40,22,20,0.160840809657886,0.743020957097376,1,0.145490366637525,0.00856295862525887,NA
"400096",400096,42,0.45,0.39,2,1,4,0,10,0.5,0.05,100,70,66,20,38,17,25,0.382275208198475,0.460011397368266,1,0.862849148242893,0.249189485278194,NA,20,38,17,25,0.382275208198475,0.460011397368266,1,0.862849148242893,0.249189485278194,NA
"400097",400097,42,0.45,0.39,2,1,4,0,10,0.5,0.05,100,70,66,29,29,17,25,0.809324303011982,0.150686257487102,0.671983732067973,0.642516819104473,0.970533087036501,NA,29,29,17,25,0.809324303011982,0.150686257487102,0.671983732067973,0.642516819104473,0.970533087036501,NA
"400099",400099,42,0.45,0.39,2,1,4,0,10,0.5,0.05,100,70,66,28,30,20,22,0.546153258335464,0.272782749103057,1,0.829974223726442,0.576367458748432,NA,28,30,20,22,0.546153258335464,0.272782749103057,1,0.829974223726442,0.576367458748432,NA
"400101",400101,42,0.45,0.39,2,1,4,0,10,0.5,0.05,100,70,66,34,24,19,23,0.934291646166274,0.0952816279303023,0.448113153682199,0.349956154586122,0.901843000903923,NA,34,24,19,23,0.934291646166274,0.0952816279303023,0.448113153682199,0.349956154586122,0.901843000903923,NA
"400103",400103,42,0.45,0.39,2,1,4,0,10,0.5,0.05,100,70,66,22,36,20,22,0.342454682865585,0.503528765068928,1,0.651778867531976,0.149797703128962,NA,22,36,20,22,0.342454682865585,0.503528765068928,1,0.651778867531976,0.149797703128962,NA
"400104",400104,42,0.45,0.39,2,1,4,0,10,0.5,0.05,100,70,66,29,29,13,29,0.963749430281743,0.0682817115760261,0.407104368988545,0.228100111224227,0.820995742235682,NA,29,29,13,29,0.963749430281743,0.0682817115760261,0.407104368988545,0.228100111224227,0.820995742235682,NA
"400105",400105,42,0.45,0.39,2,1,4,0,10,0.5,0.05,100,70,66,27,31,14,28,0.892596966917824,0.1203986223355,0.522657289584509,0.489974080258319,0.96731679067381,NA,27,31,14,28,0.892596966917824,0.1203986223355,0.522657289584509,0.489974080258319,0.96731679067381,NA
"400108",400108,42,0.45,0.39,2,1,4,0,10,0.5,0.05,100,70,66,22,36,13,29,0.612477647696067,0.218662263501939,1,0.7956323303316,0.764987162521589,NA,22,36,13,29,0.612477647696067,0.218662263501939,1,0.7956323303316,0.764987162521589,NA
"400109",400109,42,0.45,0.39,2,1,4,0,10,0.5,0.05,100,70,66,21,37,12,30,0.619839444263598,0.214404019374418,1,0.746290231937801,0.73449604738429,NA,21,37,12,30,0.619839444263598,0.214404019374418,1,0.746290231937801,0.73449604738429,NA
"400111",400111,42,0.45,0.39,2,1,4,0,10,0.5,0.05,100,70,66,27,31,20,22,0.512351173782647,0.306991770561437,1,0.853761923341889,0.496568546698299,NA,27,31,20,22,0.512351173782647,0.306991770561437,1,0.853761923341889,0.496568546698299,NA
"400113",400113,42,0.45,0.39,2,1,4,0,10,0.5,0.05,100,70,66,27,31,21,21,0.474789563248181,0.346130682340007,1,0.773324345780271,0.366495689937609,NA,27,31,21,21,0.474789563248181,0.346130682340007,1,0.773324345780271,0.366495689937609,NA
"400114",400114,42,0.45,0.39,2,1,4,0,10,0.5,0.05,100,70,66,26,32,15,27,0.751038267603223,0.169245112318463,0.771480718188774,0.710193881157818,0.938713162969044,NA,26,32,15,27,0.751038267603223,0.169245112318463,0.771480718188774,0.710193881157818,0.938713162969044,NA
"400116",400116,42,0.45,0.39,2,1,4,0,10,0.5,0.05,100,70,66,30,28,16,26,0.923363441561349,0.106717237195437,0.447187861730634,0.443876766246878,0.996688904516244,NA,30,28,16,26,0.923363441561349,0.106717237195437,0.447187861730634,0.443876766246878,0.996688904516244,NA
"400121",400121,42,0.45,0.39,2,1,4,0,10,0.5,0.05,100,70,66,31,27,20,22,0.690254458249857,0.183571639624715,0.877852952054181,0.661173558531057,0.783320606476876,NA,31,27,20,22,0.690254458249857,0.183571639624715,0.877852952054181,0.661173558531057,0.783320606476876,NA
"400122",400122,42,0.45,0.39,2,1,4,0,10,0.5,0.05,100,70,66,30,28,17,25,0.872528907302163,0.128633436634403,0.558230500790762,0.548320300827555,0.990089800036793,NA,30,28,17,25,0.872528907302163,0.128633436634403,0.558230500790762,0.548320300827555,0.990089800036793,NA
"400126",400126,42,0.45,0.39,2,1,4,0,10,0.5,0.05,100,70,66,31,27,11,29,0.976907639686731,0.0331519892878108,0.585489101812717,0.0637053652914663,0.47821626347875,NA,31,27,12,30,0.977525396668499,0.0356392867578785,0.549473064154824,0.0763093480258164,0.526836283870993,NA
"400129",400129,42,0.45,0.39,2,1,4,0,10,0.5,0.05,100,70,66,16,42,20,22,0.158263692943082,0.750318087909096,1,0.184863453314526,0.0108586480653194,NA,16,42,20,22,0.158263692943082,0.750318087909096,1,0.184863453314526,0.0108586480653194,NA
"400131",400131,42,0.45,0.39,2,1,4,0,10,0.5,0.05,100,70,66,26,32,12,30,0.928617460085013,0.0949731971884378,0.487331677020822,0.330773413014458,0.843441735993635,NA,26,32,12,30,0.928617460085013,0.0949731971884378,0.487331677020822,0.330773413014458,0.843441735993635,NA
"400132",400132,42,0.45,0.39,2,1,4,0,10,0.5,0.05,100,70,66,28,30,18,24,0.627200355425894,0.205179274791117,0.980352937231561,0.80412717201081,0.823774234779248,NA,28,30,18,24,0.627200355425894,0.205179274791117,0.980352937231561,0.80412717201081,0.823774234779248,NA
