"","X","eff.mon.initial","eff.mon.final","fut.mon.initial","fut.mon.final","ss.initial","ss.final","mle.initial.IP","mle.final.IP","mle.initial.PC","mle.final.PC","post.mean.initial.IP","post.mean.final.IP","post.mean.initial.PC","post.mean.final.PC","cov.initial","cov.final","idx"
"29",1,0.00564,0.00412,0,0,99.93144,99.94612,0.500074760651797,0.500049608473816,0.388873255463867,0.388906092419782,0.488261714509567,0.488255646963126,0.406014192995811,0.406012241489873,0.97108,0.97112,12
"30",1,0.0076,0.00524,0,0,99.92,99.9398,0.510276899284785,0.510236291817318,0.388877060501734,0.38893192160736,0.495807486528776,0.495797144606293,0.409073125789422,0.409074615899867,0.967,0.96708,13
"31",1,0.00988,0.00668,0,0,99.88864,99.91444,0.520315428204875,0.520275981987993,0.388804671562336,0.388880193864353,0.50319838411739,0.503195551035409,0.412074770405016,0.412084581545579,0.96716,0.96716,14
"32",1,0.013,0.009,0,0,99.85216,99.886,0.530369743897893,0.530318019732693,0.388733074553562,0.388830662521735,0.510593368910409,0.51058996111691,0.415106206894147,0.415118145469921,0.96456,0.96452,15
"33",1,0.01672,0.0118,0,0,99.80632,99.8498,0.54048993218611,0.540427843818541,0.388667062134061,0.388788602500664,0.518036452134409,0.518033207924283,0.418202586247009,0.418216124374956,0.96,0.96016,16
"34",1,0.02092,0.0156,0,0,99.74128,99.79652,0.550513865592425,0.550447189506969,0.388545310287116,0.388686922578496,0.525391652211175,0.525391355025649,0.421276172151877,0.42128886162522,0.95636,0.9566,17
"35",1,0.02696,0.02036,0,0,99.66264,99.73296,0.560476756500431,0.560387732526831,0.388439709307202,0.388600249288318,0.532702499029032,0.532694633677951,0.424383469141502,0.424386191076404,0.95128,0.9512,18
"36",1,0.03372,0.02516,0,0,99.56112,99.65024,0.570567710245382,0.570470521807153,0.388271491406761,0.388459546902857,0.540085152007205,0.540078857852789,0.427538580795739,0.427536197611918,0.94028,0.9404,19
"37",1,0.00016,0.00016,0,0,99.99912,99.9994,0.39009029137407,0.390090565517241,0.389051523809524,0.389051238095238,0.406577343025142,0.406577592067921,0.373794644678596,0.373794527682043,0.96584,0.96584,1
"38",1,0.04296,0.03276,0,0,99.43576,99.54804,0.580696962084145,0.580567123674241,0.388088967137928,0.388307910789797,0.547494560944329,0.547473556818781,0.430765308643323,0.430746543814685,0.92628,0.92648,20
"39",1,0.0534,0.04196,0,0,99.29288,99.4326,0.590811002929434,0.590664752728124,0.387864365640851,0.388124343070242,0.55488385300638,0.55486379374415,0.434006654349341,0.433980565215531,0.91156,0.91152,21
"40",1,0.06688,0.05324,0,0,99.098,99.27276,0.600932768455119,0.600759048934602,0.387583830948306,0.387886558958829,0.562264815315568,0.562243650991777,0.43730651112688,0.437271709775683,0.8848,0.88492,22
"41",1,0.08276,0.06496,0,0,98.85992,99.077,0.611169313988256,0.610947661032317,0.387319263456518,0.387668863279598,0.569722324429058,0.569686519103983,0.440699109363109,0.440641088721903,0.86452,0.86456,23
"42",1,0.10032,0.07972,0,0,98.5664,98.8312,0.621392596928746,0.621139331466421,0.386995695775233,0.387411452492185,0.577157672040766,0.577127126109197,0.444155045795506,0.444084868457073,0.83436,0.83456,24
"43",1,0.12032,0.09524,0,0,98.19968,98.51864,0.631708577437382,0.631399276817088,0.386545069290227,0.387030649622003,0.584640949852699,0.584591981933999,0.447697149315867,0.447593476416999,0.78812,0.7882,25
"44",1,0.00772,0.00472,0,0,99.82776,99.84936,0.39030766740837,0.390273570581914,0.388560781326893,0.388647042216385,0.406585945913539,0.406586717478074,0.37369531898856,0.373712727424552,0.96432,0.96532,26
"45",1,0.00976,0.006,0,0,99.78192,99.80928,0.400363686076324,0.400319570113688,0.388465646250425,0.38856763279542,0.414073510926426,0.414072179966426,0.376635212432536,0.376652957763336,0.96724,0.96692,27
"46",1,0.01244,0.00788,0,0,99.72888,99.76356,0.410362092611614,0.410297315468382,0.388344258495829,0.388465155525965,0.421504736061703,0.421494097819903,0.379532918416143,0.379547927518922,0.97204,0.97196,28
"47",1,0.01548,0.00948,0,0,99.66568,99.70832,0.420423576290823,0.420335148062454,0.38823287049968,0.38837043212619,0.42896799762514,0.428946180255346,0.382461452243555,0.382470709422371,0.9728,0.97288,29
"48",1,0.00032,0.00024,0,0,99.99816,99.99876,0.400095648199196,0.400095372627856,0.389046866156522,0.389047904761905,0.414057492902704,0.414057719977795,0.376736591114912,0.376736772227981,0.96688,0.96688,2
"49",1,0.01988,0.01208,0,0,99.57536,99.63016,0.430520418657427,0.430416723630161,0.388005861327009,0.388171723971687,0.436417428039235,0.43639398590038,0.385344221520079,0.385354636542799,0.97364,0.97368,30
"50",1,0.02548,0.01604,0,0,99.45264,99.52332,0.440640470767905,0.440523631174367,0.387708320316818,0.387928065765782,0.443852048563609,0.443836982669137,0.38822423894282,0.388247358120327,0.97368,0.97384,31
