"","y1.PC","y0.PC","y1.IP","y0.IP","box.ni.final"
"400811",15,25,32,22,0.90235932003998
"400815",27,15,31,27,0.195250539053641
"400820",12,26,30,24,0.784330433468416
"400826",22,20,33,25,0.573024351597211
"400827",16,23,35,22,0.888090792267128
"400830",8,27,29,16,0.266294025246049
"400832",20,22,40,18,0.688109782963089
"400833",11,31,24,34,0.620413906930781
"400839",10,22,32,20,0.689363989739887
"400844",20,22,26,32,0.755912053888587
"400847",24,18,28,30,0.391371442251094
"400855",23,19,28,30,0.477987123787043
"400860",8,25,32,21,0.404863876711205
"400866",13,27,31,25,0.81056997312186
"400869",17,24,34,21,0.890338611634872
"400870",10,23,30,17,0.595284838415833
"400871",11,31,29,27,0.584645357191478
"400875",11,19,34,20,0.837288237363131
"400879",10,25,30,19,0.565408743578568
"400889",17,22,34,17,0.788077496336272
"400897",8,24,32,20,0.417535893475155
"400900",11,19,35,19,0.775020581918962
"400905",14,21,30,15,0.792439766607255
"400909",15,19,31,11,0.644429807791528
"400912",14,23,31,20,0.888344250268776
"400917",13,25,30,22,0.840747969175112
"400918",7,34,28,29,0.24956887966562
"400919",11,27,30,24,0.681200460423422
"400922",15,21,34,18,0.831793509581413
"400925",13,21,33,19,0.837371067300431
"400926",14,17,36,15,0.703142863574419
"400930",8,19,35,16,0.448049119627372
"400931",18,24,37,21,0.851943698038007
"400932",12,20,30,12,0.635701153299273
"400934",9,17,34,10,0.36170728916617
"400936",8,25,32,19,0.35498311532351
"400937",8,27,31,20,0.342954628751527
"400940",10,20,32,12,0.470935785148803
"400942",11,13,37,9,0.453647969273667
"400943",18,23,34,19,0.820189143161082
"400946",19,23,37,21,0.786309085161883
"400948",9,25,32,20,0.484801648839779
"400949",10,22,30,12,0.425268810690401
"400950",9,20,33,16,0.535166146556784
"400952",13,22,32,19,0.843500028307996
"400955",11,20,31,14,0.644454107452
"400958",14,24,33,23,0.892497944152066
"400961",10,17,34,9,0.364772683633838
"400963",16,22,35,21,0.876162008723041
"400970",7,25,30,16,0.227721939218216
"400971",11,18,32,11,0.548149627000456
"400972",8,20,35,17,0.449237668836251
"400973",11,21,31,15,0.65185621123601
"400974",11,21,32,16,0.672512452753849
"400979",10,22,31,19,0.664234765878197
"400980",10,18,34,8,0.28084542153603
"400983",14,22,31,15,0.762607016927408
"400984",14,21,33,18,0.841805287795301
"400985",13,25,31,23,0.853749985311746
"400986",14,17,35,12,0.633114844670051
"400987",10,27,29,22,0.566248333441952
"400992",20,22,19,39,0.692674545587924
"401003",8,34,22,36,0.351395936839474
"401004",15,27,20,38,0.962718247965461
"401005",16,26,16,42,0.942189142320543
"401008",14,28,15,43,0.875394748245209
"401010",13,29,17,41,0.813814465333157
"401018",9,33,23,35,0.434414249950395
"401031",15,27,13,45,0.874080139808427
"401033",21,21,20,38,0.609855843978962
"401052",21,21,30,28,0.665795604990773
"401057",9,32,29,28,0.410231308261267
"401088",19,23,24,34,0.840425494247834
"401109",11,31,23,35,0.622537215629725
"401115",12,26,31,25,0.78711306632186
"401125",13,26,31,24,0.83889900136964
"401135",14,27,32,25,0.861281787333322
"401143",23,19,31,27,0.486820217423969
"401146",22,20,31,27,0.576003061655782
"401151",15,21,35,19,0.840695353976586
"401157",8,27,31,24,0.398326548656369
"401172",14,22,33,21,0.891750589608049
"401175",11,30,30,27,0.599364838855341
"401177",11,24,31,20,0.689632217944426
"401183",23,19,32,26,0.485051962589187
"401185",14,24,31,21,0.887889454220064
"401189",13,24,33,24,0.865176664614287
"401191",15,27,31,23,0.883616744441407
"401195",12,24,32,24,0.832374527674018
"401198",12,22,32,20,0.818713291139342
"401199",16,25,34,23,0.913384216473628
"401203",10,26,29,15,0.425912459064504
"401204",20,22,37,21,0.729830851910076
"401205",11,26,30,23,0.694172746209474
"401207",9,20,31,10,0.303989241240413
"401209",10,24,31,19,0.597068633787324
"401211",8,26,31,19,0.334345590778253
"401213",12,30,31,27,0.673524860809419
"401219",5,20,33,14,0.121357679166417
"401220",17,23,35,21,0.864472056240415
"401221",14,25,33,24,0.885222359693767
"401223",15,22,34,19,0.847745596736606
"401229",13,20,31,16,0.8022561638787
"401230",12,19,33,16,0.768082862924094
"401234",11,20,33,16,0.689227034412861
"401235",9,29,31,25,0.441871310407219
"401238",17,23,34,20,0.85832656082237
"401239",9,31,29,27,0.426298910832721
"401242",16,24,35,23,0.903225124934739
"401244",21,21,36,22,0.64937643830417
"401246",14,23,33,22,0.899155838481478
"401252",20,22,38,20,0.709984042981914
"401259",13,23,30,20,0.859471642770382
"401260",22,20,38,20,0.559197637497139
"401262",10,23,31,16,0.53829590481669
"401263",9,21,32,16,0.508341444814099
"401266",14,21,32,17,0.82536264811615
"401267",13,15,38,10,0.513776471014829
"401268",13,27,30,24,0.809770131376578
"401269",11,25,30,22,0.720382186232758
"401271",13,26,30,21,0.791074767578636
"401272",13,27,27,17,0.72080243151505
"401274",9,22,32,13,0.348374170910828
"401275",13,18,34,15,0.75158490794496
"401279",11,23,30,14,0.565127192160692
"401284",14,21,35,22,0.889958729789249
"401285",11,18,34,15,0.691787205681372
"401286",16,23,35,20,0.856238354566851
"401287",17,18,36,13,0.6105490972272
"401288",10,21,31,10,0.33858449950512
"401290",13,24,31,20,0.832526716926035
"401293",12,23,30,19,0.789015821587775
"401295",16,25,33,22,0.907487224792267
"401296",16,16,39,11,0.518793753702537
"401297",9,19,34,8,0.196878284382243
"401301",11,22,31,16,0.652385422139403
"401302",11,24,29,18,0.67837597531887
"401306",11,20,31,10,0.443858562588102
"401307",14,21,31,14,0.757920338278784
"401310",21,21,39,19,0.637462227158467
"401311",6,23,34,7,0.0152692634727419
"401312",9,26,29,16,0.368191879972615
"401313",13,21,34,20,0.844653869171571
"401318",8,28,31,23,0.354117660652704
"401324",11,31,21,37,0.628924826690743
"401352",20,22,18,40,0.681333444059085
"401364",25,17,21,37,0.262033315363258
"401366",13,29,19,39,0.820108720808891
"401374",27,15,13,45,0.0340522544098184
"401375",15,27,15,43,0.928633771189798
"401377",21,21,18,40,0.582993865705168
"401385",13,29,18,40,0.818849536953887
"401390",23,19,21,37,0.426150772430355
"401408",10,32,28,30,0.502126984923872
"401414",18,24,17,41,0.855812067491812
"401421",11,25,31,23,0.723692669831223
"401434",14,26,29,21,0.864947953482111
"401454",12,24,31,23,0.826668268792601
"401456",9,30,29,24,0.420665006965156
"401458",16,21,36,19,0.822911551813516
"401464",16,23,34,21,0.881259540291398
"401466",12,25,32,25,0.802975230386591
"401483",13,25,33,25,0.866001768248048
"401487",13,18,36,17,0.792465581051189
"401490",13,24,32,23,0.860563924400576
