"","p.IP","p.PC","freq.mntr","enr.shape","out.mean","fut.mix.prob","eff.mix.prob","inf.mix.prob","cred.tail","max.ss","min.ss","reps"
"131",0.39,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"132",0.45,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"133",0.51,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"134",0.57,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"135",0.63,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"136",0.39,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"137",0.45,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"138",0.51,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"139",0.57,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"140",0.63,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"141",0.39,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"142",0.45,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"143",0.51,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"144",0.57,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"145",0.63,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"146",0.39,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"147",0.45,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"148",0.51,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"149",0.57,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"150",0.63,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"151",0.39,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"152",0.45,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"153",0.51,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"154",0.57,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"155",0.63,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"156",0.39,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"157",0.45,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"158",0.51,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"159",0.57,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"160",0.63,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"161",0.39,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"162",0.45,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"163",0.51,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"164",0.57,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"165",0.63,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"166",0.39,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"167",0.45,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"168",0.51,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"169",0.57,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"170",0.63,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"171",0.39,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"172",0.45,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"173",0.51,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"174",0.57,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"175",0.63,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"176",0.39,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"177",0.45,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"178",0.51,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"179",0.57,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"180",0.63,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"181",0.39,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"182",0.45,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"183",0.51,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"184",0.57,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"185",0.63,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"186",0.39,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"187",0.45,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"188",0.51,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"189",0.57,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"190",0.63,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"191",0.39,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"192",0.45,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"193",0.51,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"194",0.57,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"195",0.63,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"196",0.39,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"197",0.45,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"198",0.51,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"199",0.57,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"200",0.63,0.39,10,1,4,0,10,0.5,0.05,100,70,25
