"","p.IP","p.PC","freq.mntr","enr.shape","out.mean","fut.mix.prob","eff.mix.prob","inf.mix.prob","cred.tail","max.ss","min.ss","reps"
"194",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"195",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"196",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"197",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"198",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"199",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"200",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"201",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"202",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"203",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"204",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"205",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"206",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"207",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"208",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"209",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"210",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"211",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"212",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"213",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"214",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"215",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"216",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"217",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"218",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"219",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"220",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"221",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"222",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"223",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"224",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"225",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"226",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"227",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"228",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"229",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"230",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"231",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"232",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"233",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"234",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"235",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"236",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"237",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"238",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"239",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"240",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"241",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"242",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"243",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"244",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"245",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"246",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"247",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"248",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
