"","X","p.IP","p.PC","freq.mntr","enr.shape","out.mean","fut.mix.prob","eff.mix.prob","inf.mix.prob","cred.tail","max.ss","min.ss","reps","X.1","X.y","eff.mon.initial","eff.mon.final","fut.mon.initial","fut.mon.final","ss.initial","ss.final","mle.initial.IP","mle.final.IP","mle.initial.PC","mle.final.PC","post.mean.initial.IP","post.mean.final.IP","post.mean.initial.PC","post.mean.final.PC","cov.initial","cov.final"
"13",13,0.51,0.39,2,1,4,0,1,0.5,0.05,100,70,1000,30,1,0,0,0,0,100,100,0.511172413793103,0.511172413793103,0.390095238095238,0.390095238095238,0.448304810191319,0.448304810191319,0.00205717056283451,0.00205717056283451,0.265,0.265
"14",14,0.52,0.39,2,1,4,0,1,0.5,0.05,100,70,1000,31,1,0,0,0,0,100,100,0.521172413793103,0.521172413793103,0.390095238095238,0.390095238095238,0.454043756538124,0.454043756538124,-0.00088618878155443,-0.00088618878155443,0.216,0.216
"15",15,0.53,0.39,2,1,4,0,1,0.5,0.05,100,70,1000,32,1,0,0,0,0,100,100,0.530948275862069,0.530948275862069,0.390095238095238,0.390095238095238,0.459638318721318,0.459638318721318,-0.00373958802402274,-0.00373958802402274,0.098,0.098
"16",16,0.54,0.39,2,1,4,0,1,0.5,0.05,100,70,1000,33,1,0,0,0,0,100,100,0.540189655172414,0.540189655172414,0.390095238095238,0.390095238095238,0.464928365089357,0.464928365089357,-0.00643383318704944,-0.00643383318704944,0.085,0.085
"17",17,0.55,0.39,2,1,4,0,1,0.5,0.05,100,70,1000,34,1,0,0,0,0,100,100,0.550293103448276,0.550293103448276,0.390095238095238,0.390095238095238,0.470697802012692,0.470697802012692,-0.00935197840420707,-0.00935197840420707,0.027,0.027
"18",18,0.56,0.39,2,1,4,0,1,0.5,0.05,100,70,1000,35,1,0,0,0,0,100,100,0.560379310344828,0.560379310344828,0.390095238095238,0.390095238095238,0.476456631776312,0.476456631776312,-0.0122544598278794,-0.0122544598278794,0.004,0.004
"19",19,0.57,0.39,2,1,4,0,1,0.5,0.05,100,70,1000,36,1,0,0,0.001,0.001,99.998,100,0.569823049001815,0.569810344827586,0.390100464576074,0.390095238095238,0.481847548243429,0.481840153275401,-0.0149721458876272,-0.0149744801931473,0.003,0.003
"20",20,0.58,0.39,2,1,4,0,1,0.5,0.05,100,70,1000,38,1,0,0,0.001,0.001,99.998,100,0.580116152450091,0.580103448275862,0.390100464576074,0.390095238095238,0.487704561902771,0.487697166934744,-0.0179092075242106,-0.0179115418297307,0.002,0.002
"21",21,0.59,0.39,2,1,4,0,1,0.5,0.05,100,70,1000,39,1,0,0,0.001,0.001,99.998,100,0.590029945553539,0.59001724137931,0.390100464576074,0.390095238095238,0.493362491903847,0.49335509693582,-0.0207485417547715,-0.0207508760602915,0,0
"22",22,0.6,0.39,2,1,4,0,1,0.5,0.05,100,70,1000,40,1,0,0,0.002,0.002,99.992,99.995,0.599764576802508,0.599750615763547,0.390097168597169,0.390111721611722,0.498941509780167,0.498934847303164,-0.0235806905229044,-0.0235706425534798,0,0
